"","titel","stars"
"1","The Shawshank Redemption","9.2"
"2","The Dark Knight","9.0"
"3","Inception","8.7"
"4","Fight Club","8.7"
"5","Forrest Gump","8.7"
"6","Pulp Fiction","8.8"
"7","The Matrix","8.7"
"8","The Lord of the Rings: The Fellowship of the Ring","8.8"
"9","The Lord of the Rings: The Return of the King","8.9"
"10","The Godfather","9.1"
"11","Interstellar","8.5"
"12","The Dark Knight Rises","8.3"
"13","The Lord of the Rings: The Two Towers","8.7"
"14","Se7en","8.6"
"15","Django Unchained","8.4"
"16","Gladiator","8.5"
"17","Batman Begins","8.2"
"18","Inglourious Basterds","8.3"
"19","The Silence of the Lambs","8.6"
"20","Saving Private Ryan","8.6"
"21","The Wolf of Wall Street","8.2"
"22","Star Wars","8.5"
"23","Schindler's List","8.9"
"24","The Prestige","8.5"
"25","The Departed","8.5"
"26","The Green Mile","8.5"
"27","Shutter Island","8.1"
"28","Star Wars: Episode V - The Empire Strikes Back","8.7"
"29","The Godfather: Part II","9.0"
"30","Memento","8.4"
"31","Back to the Future","8.5"
"32","Joker","8.3"
"33","American Beauty","8.3"
"34","Léon","8.5"
"35","Goodfellas","8.6"
"36","V for Vendetta","8.1"
"37","American History X","8.5"
"38","Kill Bill: Vol. 1","8.1"
"39","WALL·E","8.4"
"40","Terminator 2: Judgment Day","8.5"
"41","The Usual Suspects","8.5"
"42","The Truman Show","8.1"
"43","Avengers: Endgame","8.3"
"44","The Lion King","8.5"
"45","Star Wars: Episode VI - Return of the Jedi","8.3"
"46","Braveheart","8.3"
"47","Finding Nemo","8.1"
"48","Up","8.2"
"49","Reservoir Dogs","8.3"
"50","Avengers: Infinity War","8.4"
"51","One Flew Over the Cuckoo's Nest","8.6"
"52","The Shining","8.4"
"53","Eternal Sunshine of the Spotless Mind","8.3"
"54","The Sixth Sense","8.1"
"55","Mad Max: Fury Road","8.1"
"56","Toy Story","8.3"
"57","Gone Girl","8.1"
"58","Raiders of the Lost Ark","8.4"
"59","Jurassic Park","8.1"
"60","No Country for Old Men","8.1"
"61","Good Will Hunting","8.3"
"62","Catch Me If You Can","8.1"
"63","A Beautiful Mind","8.1"
"64","Monsters, Inc.","8.0"
"65","Die Hard","8.2"
"66","Alien","8.4"
"67","Harry Potter and the Deathly Hallows: Part 2","8.1"
"68","Snatch","8.2"
"69","The Intouchables","8.5"
"70","Requiem for a Dream","8.3"
"71","Toy Story 3","8.2"
"72","A Clockwork Orange","8.2"
"73","Scarface","8.2"
"74","The Pianist","8.5"
"75","Whiplash","8.5"
"76","Taxi Driver","8.2"
"77","The Big Lebowski","8.1"
"78","The Grand Budapest Hotel","8.1"
"79","Gran Torino","8.1"
"80","12 Angry Men","8.9"
"81","Blade Runner","8.1"
"82","Le fabuleux destin d'Amélie Poulain","8.2"
"83","Cidade de Deus","8.6"
"84","Il buono, il brutto, il cattivo","8.8"
"85","Indiana Jones and the Last Crusade","8.2"
"86","Sen to Chihiro no kamikakushi","8.5"
"87","Full Metal Jacket","8.2"
"88","Gisaengchung","8.5"
"89","Logan","8.1"
"90","How to Train Your Dragon","8.1"
"91","Aliens","8.3"
"92","12 Years a Slave","8.1"
"93","Inside Out","8.1"
"94","Million Dollar Baby","8.1"
"95","La vita è bella","8.6"
"96","Trainspotting","8.1"
"97","Prisoners","8.1"
"98","Fargo","8.1"
"99","Pan's Labyrinth","8.1"
"100","Psycho","8.5"
"101","2001: A Space Odyssey","8.3"
"102","Apocalypse Now","8.4"
"103","Heat","8.2"
"104","Into the Wild","8.0"
"105","Lock, Stock and Two Smoking Barrels","8.1"
"106","L.A. Confidential","8.2"
"107","There Will Be Blood","8.2"
"108","Oldeuboi","8.3"
"109","Casablanca","8.4"
"110","Rocky","8.0"
"111","1917","8.2"
"112","Monty Python and the Holy Grail","8.2"
"113","Casino","8.2"
"114","Hacksaw Ridge","8.1"
"115","Three Billboards Outside Ebbing, Missouri","8.1"
"116","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","8.4"
"117","Rear Window","8.4"
"118","Dune: Part One","8.1"
"119","Spider-Man: Into the Spider-Verse","8.4"
"120","Dead Poets Society","8.1"
"121","Rush","8.0"
"122","Coco","8.3"
"123","Warrior","8.1"
"124","Spotlight","8.0"
"125","Green Book","8.2"
"126","It's a Wonderful Life","8.6"
"127","Spider-Man: No Way Home","8.6"
"128","Citizen Kane","8.3"
"129","The Thing","8.1"
"130","Room","8.1"
"131","Platoon","8.0"
"132","Unforgiven","8.2"
"133","Vertigo","8.3"
"134","Amadeus","8.3"
"135","Life of Brian","8.0"
"136","Stand by Me","8.1"
"137","The Lives of Others","8.4"
"138","3 Idiots","8.3"
"139","Mononoke-hime","8.3"
"140","Hauru no ugoku shiro","8.2"
"141","Ford v Ferrari","8.1"
"142","Hotel Rwanda","8.0"
"143","Der Untergang","8.2"
"144","Raging Bull","8.1"
"145","Once Upon a Time in America","8.3"
"146","Shichinin no samurai","8.6"
"147","The Deer Hunter","8.1"
"148","Tonari no Totoro","8.1"
"149","Once Upon a Time in the West","8.4"
"150","North by Northwest","8.3"
"151","Chinatown","8.1"
"152","Jagten","8.3"
"153","To Kill a Mockingbird","8.2"
"154","Gone with the Wind","8.1"
"155","Before Sunrise","8.1"
"156","Lawrence of Arabia","8.3"
"157","Hachi: A Dog's Tale","8.0"
"158","Hotaru no haka","8.5"
"159","Some Like It Hot","8.2"
"160","The Sting","8.2"
"161","Before Sunset","8.0"
"162","Nuovo Cinema Paradiso","8.4"
"163","Per qualche dollaro in più","8.2"
"164","Das Boot","8.3"
"165","Kimi no na wa.","8.3"
"166","The Great Escape","8.2"
"167","Jodaeiye Nader az Simin","8.2"
"168","Amores perros","8.0"
"169","The Elephant Man","8.1"
"170","Modern Times","8.5"
"171","Singin' in the Rain","8.3"
"172","Ben-Hur","8.1"
"173","The Great Dictator","8.4"
"174","Sunset Blvd.","8.4"
"175","The Bridge on the River Kwai","8.1"
"176","El secreto de sus ojos","8.1"
"177","Relatos salvajes","8.1"
"178","Paths of Glory","8.4"
"179","Taare Zameen Par","8.3"
"180","City Lights","8.5"
"181","Det sjunde inseglet","8.1"
"182","Dangal","8.2"
"183","The Apartment","8.2"
"184","Mary and Max.","8.1"
"185","Jai Bhim","8.2"
"186","Cool Hand Luke","8.0"
"187","Dial M for Murder","8.1"
"188","Metropolis","8.2"
"189","In the Name of the Father","8.1"
"190","Incendies","8.2"
"191","The Third Man","8.1"
"192","Salinui chueok","8.1"
"193","La haine","8.1"
"194","Kaze no tani no Naushika","8.0"
"195","Rashômon","8.2"
"196","Barry Lyndon","8.1"
"197","Ladri di biciclette","8.3"
"198","Network","8.1"
"199","M - Eine Stadt sucht einen Mörder","8.3"
"200","Double Indemnity","8.2"
"201","On the Waterfront","8.1"
"202","Fa Yeung Nin Wah","8.0"
"203","Klaus","8.1"
"204","Ah-ga-ssi","8.1"
"205","Rebecca","8.0"
"206","Stalker","8.1"
"207","All About Eve","8.2"
"208","The Kid","8.2"
"209","The Father","8.2"
"210","The Treasure of the Sierra Madre","8.2"
"211","Ran","8.2"
"212","Witness for the Prosecution","8.4"
"213","Yôjinbô","8.2"
"214","Les quatre cents coups","8.0"
"215","Persona","8.1"
"216","Mr. Smith Goes to Washington","8.1"
"217","The Gold Rush","8.1"
"218","Smultronstället","8.1"
"219","It Happened One Night","8.0"
"220","Gangs of Wasseypur","8.1"
"221","The General","8.1"
"222","Andhadhun","8.1"
"223","Babam ve Oglum","8.1"
"224","Hamilton","8.3"
"225","Capharnaüm","8.3"
"226","Ikiru","8.3"
"227","Judgment at Nuremberg","8.2"
"228","Bacheha-Ye aseman","8.2"
"229","Idi i smotri","8.3"
"230","Koe no katachi","8.0"
"231","Eskiya","8.0"
"232","Hera Pheri","8.0"
"233","Fanny och Alexander","8.0"
"234","Le salaire de la peur","8.1"
"235","Tôkyô monogatari","8.1"
"236","La battaglia di Algeri","8.0"
"237","La passion de Jeanne d'Arc","8.1"
"238","Andrei Rublev","8.0"
"239","Seppuku","8.5"
"240","Le notti di Cabiria","8.0"
"241","Sherlock Jr.","8.1"
"242","Kimetsu no Yaiba: Mugen Ressha-Hen","8.0"
"243","Tengoku to jigoku","8.3"
"244","Drishyam","8.0"
"245","To Be or Not to Be","8.1"
"246","Drishyam 2","8.0"
"247","Höstsonaten","8.1"
"248","Pather Panchali","8.2"
"249","Z","8.1"
"250","Dersu Uzala","8.1"
